model,Introvert/Extrovert Score,Intuitive/Sensing Score,Thinking/Feeling Score,Judging/Perceiving Score
Random Forests,0.7639465191332411,0.859843245735362,0.6228676809589673,0.5629322268326418
KNN,0.716589861751152,0.8387096774193549,0.532258064516129,0.5184331797235023
SVM,0.789,0.856,0.539,0.592
Neural Network,0.7722452878952026,0.8607653379440308,0.6445366740226746,0.6076533198356628
Binomial Naive Bayes,0.7597971415398801,0.8570769940064545,0.5606270170585523,0.5993545412632549
